Date,Note,Location,GPS,Source
"October 05, 2012 at 01:34PM",,Doi Chaang Coffe,"13.72976553,100.58590651",historical-xlsx
"October 05, 2012 at 11:23PM",,Madrid Pizzeria & Bar,"13.72819922,100.53213015",historical-xlsx
"October 06, 2012 at 07:37PM",,Four Seasons Hotel Bangkok,"13.74089625,100.54013729",historical-xlsx
"October 07, 2012 at 02:25PM",,Sizzler (ซิซซ์เลอร์),"13.72136500,100.58315100",historical-xlsx
"October 08, 2012 at 04:11PM",,Litehouse Asia,"13.57655300,100.77233700",historical-xlsx
"October 10, 2012 at 03:14PM",,โรงพยาบาลสมิติเวช สุขุมวิท (Samitivej Sukhumvit Hospital),"13.73450761,100.57661533",historical-xlsx
"October 10, 2012 at 04:13PM",,OOTOYA (โอโตยะ),"13.73522478,100.57684064",historical-xlsx
"October 11, 2012 at 07:43PM",,Dusit Thani Bangkok,"13.72884837,100.53690791",historical-xlsx
"October 11, 2012 at 11:47PM",,Bed Supperclub,"13.74449173,100.55704594",historical-xlsx
"October 12, 2012 at 01:10AM",,Levels Club & Lounge,"13.74433446,100.55653462",historical-xlsx
"October 12, 2012 at 02:38AM",,Levels Club & Lounge,"13.74433446,100.55653462",historical-xlsx
"October 12, 2012 at 12:43PM",,Pro wash carcare,"13.72985330,100.59409895",historical-xlsx
"October 12, 2012 at 05:53PM",,สบายใจเก็บตะวัน (Sabaijai Kebtawan),"13.72946000,100.58586300",historical-xlsx
"October 13, 2012 at 10:21AM",,Emporium (เอ็มโพเรียม),"13.73041578,100.56865724",historical-xlsx
"October 13, 2012 at 10:44AM",,อุทยานเบญจสิริ (Benchasiri Park),"13.73072438,100.56744218",historical-xlsx
"October 16, 2012 at 06:40PM",,Singapore Chicken Rice,"13.72633973,100.58518325",historical-xlsx
"October 18, 2012 at 09:09PM",,Ramada Encore Bangkok,"13.73698374,100.55728741",historical-xlsx
"October 20, 2012 at 10:48AM",,PTT Bypass Chon Buri,"13.34939217,101.00042109",historical-xlsx
"October 20, 2012 at 03:27PM",At the beach,ริมทะเล บางแสน,"13.28840917,100.91145161",historical-xlsx
"October 20, 2012 at 06:55PM",,Megabangna (เมกาบางนา),"13.64732134,100.68099618",historical-xlsx
"October 20, 2012 at 07:17PM",,Bangkok Burger Company,"13.64535866,100.68053008",historical-xlsx
"October 22, 2012 at 03:47PM",,Food by Phone,"13.73193746,100.56295822",historical-xlsx
"October 23, 2012 at 09:30AM",,TrueCoffee (ทรูคอฟฟี่),"13.74559642,100.53357124",historical-xlsx
"October 25, 2012 at 03:28PM",,Tesco Lotus (เทสโก้ โลตัส),"13.80161605,100.61391950",historical-xlsx
"October 25, 2012 at 08:17PM",,The Westin Grande Sukhumvit Bangkok,"13.73796363,100.55987549",historical-xlsx
"October 25, 2012 at 09:55PM",,Mulligan's Irish Pub and Restaurant,"13.74403318,100.55689573",historical-xlsx
"October 25, 2012 at 10:30PM",,Levels Club & Lounge,"13.74433446,100.55653462",historical-xlsx
"October 27, 2012 at 12:20PM",,Au Bon Pain (โอ บอง แปง),"13.73501900,100.57670300",historical-xlsx
"October 27, 2012 at 04:49PM",,BTS บางนา (Bang Na) E13,"13.66811492,100.60467124",historical-xlsx
"October 27, 2012 at 05:33PM",,BITEC (ศูนย์นิทรรศการและการประชุมไบเทค),"13.67057000,100.61034679",historical-xlsx
"October 27, 2012 at 07:24PM",,Gateway Ekamai (เกตเวย์ เอกมัย) ゲートウェイ・エカマイ,"13.71908246,100.58520913",historical-xlsx
"October 27, 2012 at 07:26PM",,Nakiya,"13.71922000,100.58512400",historical-xlsx
"October 28, 2012 at 01:50PM",,Doi Chaang (กาแฟดอยช้าง),"13.81924445,100.59275150",historical-xlsx
"October 28, 2012 at 08:02PM",,Night Food Stall Street,"13.72312645,100.57901859",historical-xlsx
"October 30, 2012 at 12:32PM",,The Landmark Bangkok,"13.74078161,100.55404186",historical-xlsx
"October 30, 2012 at 07:52PM",,Pullman Bangkok King Power,"13.75879439,100.53763460",historical-xlsx
"November 04, 2012 at 12:37PM",,Playtime@Play Lane,"13.72324020,100.58435329",historical-xlsx
"November 04, 2012 at 04:22PM",,Omu (โอมุ) おむ,"13.72300138,100.58403969",historical-xlsx
"November 07, 2012 at 01:24PM",,PTT: Nak Niwat,"13.80988075,100.60940936",historical-xlsx
"November 07, 2012 at 01:30PM",,การไฟฟ้านครหลวงเขต สาขาย่อยนาคนิวาส,"13.80532700,100.60740300",historical-xlsx
"November 07, 2012 at 02:21PM",,โรงพยาบาลสมิติเวช สุขุมวิท (Samitivej Sukhumvit Hospital),"13.73450761,100.57661533",historical-xlsx
"November 07, 2012 at 08:08PM",,BTS สะพานตากสิน (Saphan Taksin) S6,"13.71876978,100.51408768",historical-xlsx
"November 07, 2012 at 08:18PM",,River City (ริเวอร์ซิตี้),"13.73049432,100.51300447",historical-xlsx
"November 07, 2012 at 08:18PM",,Viva & Aviv The River,"13.73020131,100.51293857",historical-xlsx
"November 07, 2012 at 08:21PM",,Viva & Aviv The River,"13.73020131,100.51293857",historical-xlsx
"November 08, 2012 at 01:35AM",,ปากคลองตลาด (Pak Khlong Market),"13.74201947,100.49724884",historical-xlsx
"November 09, 2012 at 09:15PM",,Wine I Love You,"13.72013394,100.56800289",historical-xlsx
"November 10, 2012 at 05:54PM",,Pullman Bangkok Hotel G,"13.72595077,100.52587349",historical-xlsx
